"Colony","Day","Multiplier","PollenWeightG"
7,41,0,NA
8,41,0,NA
9,41,0,NA
10,41,0,NA
11,41,0,NA
12,41,0,NA
13,41,0,NA
14,41,0,NA
15,41,0,NA
16,41,0,NA
17,41,0,NA
18,41,0,NA
19,41,0,NA
20,41,0,NA
21,41,0,NA
22,41,0,NA
23,41,0,NA
24,41,0,NA
1,42,2,111
2,42,2,103
3,42,2,75
4,42,2,67
5,42,2,62
6,42,2,32
7,42,2,115
8,42,2,133
9,42,2,138.5
10,42,2,91.5
11,42,2,92
12,42,2,43
13,42,2,67
14,42,2,135
15,42,2,168.5
16,42,2,173.5
17,42,2,145
18,42,2,99.5
19,42,2,72
20,42,2,91
21,42,2,74.5
22,42,2,90.5
23,42,2,208.5
24,42,2,178
1,43,0,NA
2,43,0,NA
3,43,0,NA
4,43,0,NA
5,43,0,NA
6,43,0,NA
7,43,0,NA
8,43,0,NA
9,43,0,NA
10,43,0,NA
11,43,0,NA
12,43,0,NA
13,43,0,NA
14,43,0,NA
15,43,0,NA
16,43,0,NA
17,43,0,NA
18,43,0,NA
19,43,0,NA
20,43,0,NA
21,43,0,NA
22,43,0,NA
23,43,0,NA
24,43,0,NA
1,44,2,99.5
2,44,2,84
3,44,2,71.5
4,44,2,68.5
5,44,2,62.5
6,44,2,38
7,44,2,112.5
8,44,2,143
9,44,2,106.5
10,44,2,65.5
11,44,2,66
12,44,2,27
13,44,2,50
14,44,2,108
15,44,2,158.5
16,44,2,175.5
17,44,2,125
18,44,2,50.5
19,44,2,58.5
20,44,2,63
21,44,2,70
22,44,2,63
23,44,2,169.5
24,44,2,140
